;Patients data;Cell lines data;Drug combinations;Drug-target interactions;Drug-disease links;Gene-disease links;Cancer mutations;Chemical structures;Protein structures;Toxicities;Pathways;Docking;Homology modelling;Binding sites;Combination web-tools;Target based DR;Phenotypic DR;Toxicity assessment;Design new clinical trials;Mapping of diseases pathways;Disease-specific;Disease-agnostic;Biomarker identification;Predict adverse reactions;
Patients data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;0;6;1;1;0;
Cell lines data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;13;0;0;1;18;1;3;0;
Drug combinations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;
Drug-target interactions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;8;4;21;0;4;
Drug-disease links;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;10;0;3;9;0;3;
Gene-disease links;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;4;0;0;
Cancer mutations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;
Chemical structures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;
Protein structures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;
Toxicities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;8;0;0;
Pathways;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;10;1;9;0;0;
Docking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;23;0;0;
Homology modelling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;
Binding sites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;
Combination web-tools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;
Target based DR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Phenotypic DR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Toxicity assessment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Design new clinical trials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Mapping of diseases pathways;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Disease-specific;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Disease-agnostic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Biomarker identification;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Predict adverse reactions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
